A A Mamun : professor, nuclear physicist, biochemist
Raymond Tripier : anatomist, physiologist, physician
Raymond Vieussens : anatomist, physician, physiologist
Raymond W. Smock : essayist, autobiographer, short story writer
Raymond Wacks : legal scholar, essayist, social sciences writer
Raymond Walburn : radio actor, producer, actres
Raymond Waring : playwright, short story writer, novelist
Raymond Weeks : essayist, novelist, cognitive scientist
Raymond Wilson (physicist) : astronomer, physicist, national academy
Raymond Wong (actor) : television actor, film actor, actor
Raymond Woodard Brink : short story writer, novelist, autobiographer
Raymundo Punongbayan : planetary scientist, earth scientist, geologist
Raynor Scheine : actres, video game actor, fictional scientist
Rayson Tan : fictional scientist, fictional pseudoscientist, producer
Raz Degan : stage actress, film actress, stage actor
Raza Ali Abidi : scholar, poet, autobiographer
Raza Jaffrey : musical theatre actor, musical theatre actress, radio actor
Raza Murad : telugu actor, film director, film actor
Razaaq Adoti : film, producer, musical theatre actor
Read Morgan : radio actor, actres, short story writer
Reader Bullard : autobiographer, biographer, geographer
Reagan Wilson : actres, fictional scientist, autobiographer
Reay Tannahill : short story writer, novelist, autobiographer
Reb Brown : fictional scientist, video game actor, autobiographer
Reba Som : ambassador, translator, autobiographer
Rebeca Arthur : actres, musical theatre actress, fictional scientist
Rebecca Addelman : musical theatre actress, musical theatre actor, producer
Rebecca Balding : musical theatre actress, musical theatre actor, producer
Rebecca Bardoux : pornographic film actor, hispanic and latino american actress, film actor
Rebecca Breeds : short story writer, actres, novelist
Rebecca Broussard : actres, short story writer, producer
Rebecca Callard : actres, soap opera actress, musical theatre actress
Rebecca Creskoff : actres, musical theatre actress, soap opera actress
Rebecca Cross : actres, novelist, short story writer
Rebecca De Mornay : actres, fictional scientist, producer
Rebecca Evans : opera singer, conductor, singer
Rebecca Ferdinando : record producer, actres, musical theatre actor
Rebecca Field : actres, fictional scientist, producer
Rebecca Fromer : diarist, essayist, autobiographer
Rebecca Gayheart : actres, short story writer, fictional scientist
Rebecca Goldstein : autobiographer, memoirist, essayist
Rebecca Hall : actres, musical theatre actress, playwright
Rebecca Handler : video game actor, voice actress, voice actor
Rebecca Herbst : actres, musical theatre actor, video game actor
Rebecca Holden : actres, fictional scientist, songwriter
Rebecca J. Scott : essayist, social sciences writer, autobiographer
Rebecca Jenkins : actres, musical theatre actress, producer
Rebecca Mader : fictional scientist, actres, short story writer
Rebecca Miller : novelist, actres, essayist
Rebecca Rigg : actres, fictional scientist, musical theatre actor
Rebecca Romijn : actres, producer, fictional scientist
Rebecca Saire : radio actress, radio actor, soap opera actress
Rebecca Schaeffer : short story writer, playwright, novelist
Rebecca Scheja : record producer, autobiographer, songwriter
Rebecca Shoichet : voice actress, voice actor, video game actor
Rebecca Skloot : novelist, autobiographer, pseudoscientist
Rebecca Smart : actres, musical theatre actress, soap opera actor
Rebecca Spence : actres, fictional scientist, record producer
Rebecca Staab : producer, actres, short story writer
Rebecca Storm : musical theatre actor, musical theatre actress, songwriter
Rebecca Weintraub : short story writer, autobiographer, actres
Rebecca Welles : actres, radio actor, fictional scientist
Rebecca Wisocky : actres, fictional scientist, producer
Rebecka Liljeberg : autobiographer, short story writer, producer
Rebekah Johnson : songwriter, record producer, singer-songwriter
Rebekah Kochan : actres, fictional scientist, fictional pseudoscientist
Rebekah Staton : radio actress, soap opera actress, musical theatre actress
Rebekka Armstrong : actres, fictional scientist, television personality
Rebel Randall : autobiographer, actres, musical theatre actress
Rebel Wilson : actres, autobiographer, fictional scientist
Reby Sky : professional wrestler, fictional scientist, actres
Recci Canon : fictional scientist, short story writer, producer
Red Berry (wrestler) : professional wrestler, martial artist, producer
Red Buttons : fictional scientist, producer, musical theatre actor
Red Coffee : fictional pseudoscientist, fictional scientist, singer-songwriter
Red Pine (author) : poet, essayist, novelist
Red Skelton : autobiographer, producer, playwright
Red Symons : short story writer, autobiographer, television presenter
Red West : producer, fictional scientist, autobiographer
Red Wing (actress) : leader, novelist, autobiographer
Redd Foxx : comedian, record producer, producer
Redford White : comedian, film actor, actor
Redmond Phillips : radio actor, playwright, musical theatre actor
Reece Thompson : actres, video game actor, fictional scientist
Reecha Sharma : comedian, soap opera actress, record producer
Reed Alexander : autobiographer, television personality, fictional scientist
Reed Diamond : fictional scientist, actres, video game actor
Reed Hadley : short story writer, novelist, fictional scientist
Reed Howes : musical theatre actor, playwright, biographer
Reed Irvine : autobiographer, memoirist, novelist
Reef Karim : autobiographer, actres, fictional scientist
Reema Lagoo : telugu actor, film director, soap opera actor
Reemma Sen : telugu actor, film producer, film director
Reen Yu : television actor, film actress, film actor
Reena Roy : telugu actor, film director, film actress
Rees Davies : biographer, autobiographer, theologian
Rees Howell Gronow : autobiographer, memoirist, biographer
Reeve Carney : singer-songwriter, producer, songwriter
Ref Sanchez : short story writer, producer, playwright
Refael (Rafi) Benvenisti : prime minister, president, entrepreneur
Reg E. Cathey : fictional scientist, director, actres
Reg Evans : musical theatre actor, radio actor, radio actress
Reg Gorman : radio actor, actres, fictional scientist
Reg Hill : fictional scientist, autobiographer, producer
Reg Johnson : autobiographer, memoirist, prime minister
Reg Revans : autobiographer, biographer, memoirist
Reg Sprigg : autobiographer, novelist, biographer
Regan Burns : fictional scientist, producer, actres
Regan Reese : pornographic film actor, comedian, producer
Reggie Hayes : short story writer, actres, fictional scientist
Reggie Morris : actres, fictional scientist, short story writer
Reggie Tsiboe : record producer, songwriter, musician
Reggie Yates : television presenter, producer, radio actor
Regiane Alves : telenovela actress, soap opera actress, telenovela actor
Regimantas Adomaitis : playwright, essayist, autobiographer
Regina Baff : actres, musical theatre actor, producer
Regina Braga : martial artist, telenovela actress, mixed martial artist
Regina Carrol : fictional scientist, actres, songwriter
Regina Cassandra : telugu actor, comedian, film director
Regina Dourado : telenovela actor, telenovela actress, soap opera actress
Regina Duarte : telenovela actress, soap opera actress, telenovela actor
Regina Hall : actres, fictional scientist, producer
Regina Linnanheimo : filmmaker, autobiographer, director
Regina Taylor : actres, short story writer, musical theatre actor
Reginald Aldworth Daly : geologist, earth scientist, geographer
Reginald Allender Smith : antiquarian, archaeologist, anthropologist
Reginald Bacon : royal navy admiral, autobiographer, biographer
Reginald Ballard : producer, musical theatre actress, songwriter
Reginald Barlow : short story writer, autobiographer, novelist
Reginald Campbell Thompson : archaeologist, anthropologist, orientalist
Reginald D. Hunter : essayist, record producer, autobiographer
Reginald Davis Johnson : short story writer, autobiographer, novelist
Reginald Denham : actres, playwright, musical theatre actress
Reginald Ernest Moreau : autobiographer, novelist, biographer
Reginald Fairlie : autobiographer, biographer, memoirist
Reginald Frederick Lawrence : entomologist, zoologist, naturalist
Reginald Gardiner : actres, producer, autobiographer
Reginald Owen : fictional scientist, novelist, actres
Reginald Southey : pseudoscientist, critic, biographer
Reginald Sutcliffe : geographer, autobiographer, explorer
Reginald Wilson (psychologist) : essayist, president, geneticist
Reginaldo Faria : telenovela actress, telenovela actor, soap opera actress
Regine Velasquez : comedian, film actress, actress
Regininha Poltergeist : telenovela actress, essayist, actres
Regiomontanus : pseudoscientist, astrologer, geographer
Regis Toomey : fictional scientist, radio actor, musical theatre actor
Regula Tschumi : novelist, art historian, essayist
Reham Abdel Ghafour : comedian, actres, autobiographer
Rehana Sultan : film director, filmmaker, producer
Rehman : film director, film actress, film actor
Rehman Sobhan : prime minister, president, social sciences writer
Rehuel Lobatto : mathematician, statistician, geographer
Rei Igarashi : voice actor, voice actress, video game actor
Rei Sakuma : voice actress, voice actor, video game actor
Reid Flair : professional wrestler, all-american college football player, autobiographer
Reid Scott (actor) : producer, video game actor, musical theatre actor
Reid Shelton : musical theatre actress, producer, short story writer
Reid W. Barton : short story writer, inventor, autobiographer
Reidar Hjermann : autobiographer, memoirist, president
Reidar T. Larsen : trotskyism, prime minister, autobiographer
Reiki Kushida : discoverer, national academy, pseudoscientist
Reiko Dan : voice actress, actress, actres
Reiko Hayama : voice actress, voice actor, pornographic film actor
Reiko Ike : voice actor, voice actress, fictional scientist
Reiko Kataoka : voice actor, voice actress, video game actor
Reiko Kusamura : voice actor, video game actor, voice actress
Reiko Sato : actres, actress, voice actress
Reiley McClendon : video game actor, actres, fictional scientist
Reimar Schefold : cultural anthropologist, autobiographer, orientalist
Rein Taagepera : president, philosopher, memoirist
Reina Leone : short story writer, producer, novelist
Reiner Protsch : autobiographer, biographer, novelist
Reinhard Kolldehoff : film actress, stage actress, film actor
Reinhard Merkel : philosopher, neuroscientist, psychologist
Reinhard Wilhelm : cognitive scientist, philosopher, psychologist
Reinhilde Veugelers : economics writer, economist, business theorist
Reinhold Aman : autobiographer, memoirist, novelist
Reinhold Bernt : silent film actor, silent film actress, stage actor
Reinhold Conrad Muschler : autobiographer, explorer, memoirist
Reinhold Pauli : art historian, hebraist, theologian
Reinhold Strassmann : chemist, autobiographer, psychoanalyst
Reino Aarnio : systems scientist, professor, autobiographer
Reino Tolvanen : prime minister, autobiographer, memoirist
Reino Valkama : playwright, banker, film producer
Reinout Oerlemans : autobiographer, fictional scientist, playwright
Rejith Menon : telugu actor, film director, director
Rekha (South Indian actress) : telugu actor, film director, film actor
Rekha Rana : playwright, autobiographer, director
Rekha Sharma : producer, autobiographer, television personality
Rekha Thapa : prime minister, playwright, autobiographer
Rekha Vedavyas : telugu actor, film director, film actor
Rekin Teksoy : translator, philosopher, essayist
Rel Hunt : video game actor, record producer, fictional scientist
Relangi Venkata Ramaiah : telugu actor, film director, director
Remak Ramsay : short story writer, autobiographer, novelist
Remington Kellogg : ecologist, autobiographer, executive office
Remko Scha : systems scientist, inventor, record producer
Remo D'Souza : telugu actor, director, soap opera actor
Remy Auberjonois : musical theatre actor, actres, fictional scientist
Remy LaCroix : pornographic film actor, film actor, producer
Remya Nambeesan : telugu actor, film director, producer
Ren Woods : record producer, producer, musical theatre actor
Ren Yexiang : playwright, emperor, essayist
Ren-Chang Ching : gardener, ethnologist, agronomist
Rena Molho : sociologist, scholar, autobiographer
Rena Murakami : pornographic film actor, voice actor, voice actress
Rena Niehaus : opera singer, film actress, composer
Rena Pagrati : radio actress, stage actress, short story writer
Rena Sofer : actres, fictional scientist, musical theatre actor
Rena Stratigou : stage actress, autobiographer, singer
Rena Torres Cacoullos : social sciences writer, autobiographer, cognitive scientist
Rena Vlahopoulou : actres, autobiographer, memoirist
Renae Cruz : pornographic film actor, film actor, actor
Renai Caruso : soap opera actress, television actress, soap opera actor
Renalto Alves : martial artist, mixed martial artist, telenovela actress
Renan Uflacker : medical researcher, surgeon, neuroscientist
Renata Dancewicz : stage actress, film actress, actress
Renata Fronzi : telenovela actress, telenovela actor, soap opera actress
Renata Reisfeld : physicist, physical chemist, chemist
Renata Salecl : sociologist, philosopher, psychologist
Renate Blume : musical theatre actor, novelist, film producer
Renato Baldini : novelist, short story writer, autobiographer
Renato Biasutti : art historian, anthropologist, cultural anthropologist
Renato Caccioppoli : mathematician, philosopher, sociologist
Renato Chiantoni : stage actor, opera singer, novelist
Renato Cialente : stage actor, novelist, composer
Renato Malavasi : silent film actress, filmmaker, musical theatre actor
Renato Marotta : hispanic and latino american actress, opera singer, mobster
Renato Novara : voice actor, video game actor, voice actress
Renato Pozzetto : opera singer, film actress, singer-songwriter
Renato Rascel : opera singer, producer, autobiographer
Renato Salvatori : opera singer, film actress, screenwriter
Renato Scarpa : fictional pseudoscientist, novelist, comedian
Renato Terra : filmmaker, opera singer, stage actor
Renaud Sainsaulieu : sociologist, intellectual historian, psychoanalyst
Rene Alperstein : musical theatre actor, musical theatre actress, radio actress
Rene Bitorajac : stage actor, stage actress, film actor
Rene Bond : pornographic film actor, producer, short story writer
Rene Kirby : actres, soap opera actor, musical theatre actor
Rene L. Moreno : comedian, musical theatre actor, actres
Rene Russo : actres, fictional scientist, producer
Renee O'Connor : actres, fictional scientist, fictional pseudoscientist
Renee Olstead : record producer, actres, songwriter
Renee Richards (pornographic actress) : pornographic film actor, comedian, producer
Renee Tenison : actres, fictional scientist, producer
Renee Torres : short story writer, autobiographer, actres
Renee Whitney : hispanic and latino american actress, actres, radio actress
Renji Ishibashi : voice actor, video game actor, voice actress
Renneker Jenkins : musical theatre actor, actres, autobiographer
Renoly Santiago : comedian, record producer, actres
Rensis Likert : business theorist, cultural anthropologist, cognitive scientist
Renske Leijten : trade unionist, autobiographer, lawyer
Renu C. Laskar : philosopher, short story writer, founder
Renu Saikia : playwright, director, founder
Renuka Menon : telugu actor, film director, film producer
Renuka Shahane : telugu actor, film director, director
Renz Valerio : comedian, film actress, television actress
Renzo Palmer : stage actor, stage actress, producer
Renzo Picasso : art historian, opera singer, painter
Reo Jones : songwriter, musical theatre actress, short story writer
Reona Hirota : record producer, video game actor, film director
Res Jost : theoretical physicist, mathematician, physicist
Reshad Strik : short story writer, musical theatre actor, novelist
Reshmi Ghosh : telugu actor, soap opera actress, soap opera actor
Reta Beebe : national academy, science writer, pseudoscientist
Reuben Alcalay : rabbi, lexicographer, hebraist
Reuben Hersh : cognitive scientist, systems scientist, social sciences writer
Reuben Sallmander : musical theatre actor, short story writer, actres
Reuven Amitai : sociologist, social sciences writer, orientalist
Reuven Rubinstein : cognitive scientist, systems scientist, econometrician
Reuven Snir : philosopher, orientalist, scholar
Reva Gerstein : autobiographer, memoirist, essayist
Reva Siegel : legal scholar, autobiographer, social sciences writer
Revathi : telugu actor, film director, film producer
Revaz Gamkrelidze : mathematician, inventor, physicist
Reweti Tuhorouta Kohere : soldier, farmer, political activist
Rex A. Wade : autobiographer, memoirist, folklorist
Rex Allen : record producer, songwriter, short story writer
Rex Chandler : short story writer, essayist, fictional scientist
Rex De Rosselli : novelist, short story writer, fictional scientist
Rex Everhart : musical theatre actor, director, musical theatre actress
Rex Harrison : autobiographer, actres, novelist
Rex Ingram (actor) : novelist, producer, actres
Rex Lease : actres, video game actor, musical theatre actor
Rex Linn : novelist, fictional scientist, short story writer
Rex Nutting : autobiographer, biographer, memoirist
Rex Reason : fictional scientist, producer, short story writer
Rex Richards (chemist) : national academy, chemist, physical chemist
Rex Richards (rugby player) : autobiographer, novelist, essayist
Rey-Phillip Santos : musical theatre actor, fictional scientist, comedian
Reyes Tamez : neuroscientist, president, essayist
Reymond Amsalem : comedian, filmmaker, actres
Reynaldo Gianecchini : telenovela actress, telenovela actor, soap opera actress
Reynaldo Rosales : fictional scientist, actres, video game actor
Reynold C. Fuson : chemist, physical chemist, cognitive scientist
Reynold Higgins : anthropologist, archaeologist, art historian
Reza Afshari : philosopher, social sciences writer, communication scholar
Reza Beyk Imanverdi : music producer, filmmaker, director
Reza Kianian : filmmaker, producer, autobiographer
Reza N. Jazar : mixed martial artist, film, martial artist
Reza Sadeghi (mathematician) : systems scientist, mathematician, essayist
Reza Sixo Safai : fictional scientist, actres, producer
Rezauddin Stalin : playwright, novelist, autobiographer
Rhashan Stone : actres, musical theatre actor, fictional scientist
Rhea Chakraborty : telugu actor, producer, director
Rhea Haines : actres, novelist, silent film actor
Rhea Harder : television actor, film actress, film actor
Rhea Mitchell : actres, short story writer, fictional scientist
Rheagan Wallace : actres, hispanic and latino american actress, video game actor
Rheta Grimsley Johnson : essayist, short story writer, social sciences writer
Rhett Allain : fictional scientist, short story writer, pseudoscientist
Rhett Fisher : record producer, rapper, fictional scientist
Rhett Walton : producer, actres, filmmaker
Rhian Ramos : comedian, television actress, film actress
Rhiannon Fish : actres, short story writer, musical theatre actor
Rhoda Janzen : novelist, diarist, playwright
Rhoda Williams : short story writer, playwright, autobiographer
Rhode Montijo : short story writer, fictional scientist, producer
Rhodes Reason : short story writer, fictional scientist, radio actor
Rhona Mitra : actres, fictional scientist, autobiographer
Rhonda Aldrich : short story writer, actres, producer
Rhonda Bates : actres, fictional scientist, producer
Rhonda Fleming : actres, producer, fictional scientist
Rhonda Jo Petty : actres, fictional scientist, novelist
Rhonda Roland Shearer : short story writer, biographer, autobiographer
Rhonda Shear : fictional scientist, singer-songwriter, musical theatre actress
Rhyon Nicole Brown : actres, musical theatre actress, fictional scientist
Rhys Coiro : video game actor, actres, fictional scientist
Rhys Ifans : producer, radio actor, novelist
Rhys Thomas (comedian) : radio actor, musical theatre actress, producer
Rhys Wakefield : autobiographer, fictional scientist, novelist
Rhys Williams (Canadian actor) : video game actor, voice actor, fictional scientist
Rhys Williams (actor) : actres, fictional scientist, radio actor
Ria Kataja : playwright, stage actress, autobiographer
Ria Mooney : playwright, autobiographer, short story writer
Ria Vandervis : actres, songwriter, novelist
Riaad Moosa : comedian, autobiographer, producer
Riad Ismat : producer, autobiographer, playwright
Riadh Sidaoui : scholar, philosopher, sociologist
Rian Gordon : autobiographer, singer-songwriter, producer
Riann Steele : video game actor, producer, actres
Riaz (actor) : film actor, film actress, film director
Riaz Ahsan : scholar, founder, engineer
Ric Blade : professional wrestler, fictional scientist, autobiographer
Ric Byrne : professional wrestler, fictional scientist, autobiographer
Ric Carrott : fictional scientist, musical theatre actor, director
Ric Converse : professional wrestler, autobiographer, fictional scientist
Ric Drasin : professional wrestler, fictional scientist, autobiographer
Ric Flair : professional wrestler, autobiographer, memoirist
Rica Erickson : horticulturists and gardener, short story writer, novelist
Rica Fukami : voice actress, actres, voice actor
Rica Matsumoto : voice actor, voice actress, video game actor
Ricardo Ainslie : autobiographer, novelist, biographer
Ricardo Baeza-Yates : cyberneticist, systems scientist, cognitive scientist
Ricardo Baroja : autobiographer, novelist, playwright
Ricardo Cortez : musical theatre actor, short story writer, fictional scientist
Ricardo Forster : philosopher, sociologist, essayist
Ricardo Gutierrez : musical theatre actor, playwright, actres
Ricardo Lagos : president, autobiographer, economist
Ricardo Lancaster-Jones y Verea : mesoamericanist, president, philologist
Ricardo Montez : fictional scientist, autobiographer, actor
Ricardo Pereira (actor) : telenovela actress, telenovela actor, soap opera actress
Ricardo Raineri : president, economist, social sciences writer
Ricardo Silva Elizondo : telenovela actor, musical theatre actor, telenovela actress
Ricardo Tejedo : voice actor, professional wrestler, voice actress
Ricardo Tozzi : telenovela actress, soap opera actress, telenovela actor
Ricca Allen : actres, comedian, short story writer
Riccardo Billi : opera singer, stage actress, stage actor
Riccardo Cucciolla : opera singer, novelist, composer
Riccardo Garrone (actor) : film actress, novelist, film actor
Riccardo Giacconi : national academy, physicist, physical chemist
Riccardo Rebonato : social sciences writer, systems scientist, economist
Riccardo Scamarcio : opera singer, film actress, composer
Ricco Ross : short story writer, fictional scientist, actres
Rich Asuncion : comedian, film actress, television actress
Rich Correll : fictional scientist, producer, radio actor
Rich Fields : television presenter, short story writer, author
Rich Gunning : television personality, radio personality, comedian
Rich McNanna : voice actor, video game actor, actres
Rich Sommer : musical theatre actor, actres, musical theatre actress
Rich Swann : professional wrestler, martial artist, autobiographer
Richa Chadda : autobiographer, producer, fictional scientist
Richa Gangopadhyay : telugu actor, producer, film producer
Richa Pallod : telugu actor, film actor, director
Richa Panai : telugu actor, producer, director
Richa Sharma (actor) : telugu actor, soap opera actress, theatre actor
Richa Soni : telugu actor, soap opera actor, producer
Richard A. Baker (historian) : essayist, autobiographer, memoirist
Richard A. Brualdi : systems scientist, mathematician, cognitive scientist
Richard A. Houghten : biochemist, chemist, neuroscientist
Richard A. Muller : fictional scientist, autobiographer, pseudoscientist
Richard A. Swanson : business theorist, psychologist, systems scientist
Richard Abegg : physical chemist, chemist, professor
Richard Abidin : cognitive scientist, psychologist, president
Richard Adams (violin player) : songwriter, record producer, playwright
Richard Aherne : short story writer, novelist, soap opera actor
Richard Ainley : radio actor, short story writer, novelist
Richard Albrecht : playwright, musical theatre actress, autobiographer
Richard Aldington : novelist, essayist, autobiographer
Richard Alexander (actor) : radio actor, video game actor, producer
Richard Allen Hunt : mathematician, systems scientist, physicist
Richard Allison (military physician) : union army general, army officer, autobiographer
Richard Altmann : physiologist, neuroscientist, pathologist
Richard Altwasser : fictional scientist, inventor, systems scientist
Richard Anderson : fictional scientist, actres, producer
Richard Andree : geographer, cartographer, orientalist
Richard Anthony Jefferson : systems scientist, medical researcher, ecologist
Richard Anthony Salisbury : horticulturists and gardener, autobiographer, physician
Richard Arenstorf : fictional scientist, pseudoscientist, systems scientist
Richard Arlen : short story writer, autobiographer, novelist
Richard Armitage (actor) : autobiographer, radio actor, novelist
Richard Asher : autobiographer, biographer, pseudoscientist
Richard Ashton Beaumont : diplomat, prime minister, autobiographer
Richard Askey : cognitive scientist, mathematician, systems scientist
Richard Attenborough : autobiographer, biographer, producer
Richard Austin Bastow : autobiographer, novelist, biographer
Richard Avery : film, comedian, television director
Richard B. Frankel : geneticist, folklorist, psychologist
Richard B. Shull : actres, playwright, fictional scientist
Richard Bakalyan : producer, actres, short story writer
Richard Baker (chronicler) : autobiographer, antiquarian, biographer
Richard Barry Bernstein : nuclear physicist, systems scientist, physiologist
Richard Barthelmess : short story writer, actres, novelist
Richard Basehart : short story writer, essayist, novelist
Richard Bebb : short story writer, autobiographer, opera singer
Richard Beckinsale : fictional scientist, radio actor, actres
Richard Beeching, Baron Beeching : autobiographer, memoirist, biographer
Richard Beeman : short story writer, autobiographer, essayist
Richard Beez : logician, mathematician, intellectual historian
Richard Bekins : producer, soap opera actor, fictional scientist
Richard Bellings : autobiographer, prime minister, king
Richard Belzer : producer, actres, musical theatre actor
Richard Benedict : radio actor, video game actor, film
Richard Bennett (actor) : short story writer, autobiographer, playwright
Richard Berry (actor) : stage actor, film actor, stage actress
Richard Beymer : musical theatre actor, producer, short story writer
Richard Bird (computer scientist) : cognitive scientist, systems scientist, neuroscientist
Richard Birkeland : geophysicist, mathematician, physicist
Richard Blackmore : essayist, short story writer, novelist
Richard Blackwell : short story writer, producer, autobiographer
Richard Blome : cartographer, geographer, explorer
Richard Bonney : memoirist, biographer, philosopher
Richard Boone : short story writer, fictional scientist, producer
Richard Borcherds : systems scientist, mathematician, cognitive scientist
Richard Boyd Barrett : autobiographer, memoirist, activist
Richard Bradford (actor) : fictional scientist, musical theatre actor, novelist
Richard Bradley (botanist) : pseudoscientist, autobiographer, science writer
Richard Briers : radio actor, playwright, actres
Richard Bright (actor) : fictional scientist, autobiographer, producer
Richard Broadley Sibson : explorer, radio actor, trotskyist
Richard Bruce Silverman : national academy, chemist, cognitive scientist
Richard Bryant (actor) : musical theatre actor, producer, autobiographer
Richard Bryn Williams : playwright, essayist, geographer
Richard Bull (actor) : radio actor, fictional scientist, actres
Richard Burbage : autobiographer, playwright, memoirist
Richard Burmer : record producer, producer, singer-songwriter
Richard Burne : bishop, clergyman, archbishop
Richard Burton : autobiographer, fictional scientist, short story writer
Richard Burton (Baltimore) : autobiographer, fictional scientist, biographer
Richard C. Banks : ornithologist, zoologist, science writer
Richard C. Bush : international relations scholar, social sciences writer, political scientist
Richard C. Jack : producer, record producer, autobiographer
Richard C. Sarafian : producer, actres, short story writer
Richard C. Snyder : political scientist, international relations scholar, social sciences writer
Richard C. Tolman : physicist, systems scientist, national academy
Richard C. Watkins : architect, executive office, autobiographer
Richard Cambridge (poet) : essayist, short story writer, novelist
Richard Carle : actres, record producer, novelist
Richard Carlyle : musical theatre actor, playwright, actres
Richard Carson : systems scientist, social sciences writer, ecologist
Richard Carwardine : autobiographer, military historian, biographer
Richard Challoner : theologian, autobiographer, biographer
Richard Clarke (priest) : hebraist, diarist, theologian
Richard Coates : autobiographer, folklorist, biographer
Richard Coogan : actres, producer, radio actor
Richard Coulter (general) : union army general, army officer, army general
Richard Cowling Taylor : geographer, antiquarian, autobiographer
Richard Cox (actor) : musical theatre actor, musical theatre actress, actres
Richard Cramer : fictional scientist, short story writer, actres
Richard Crandall : systems scientist, cognitive scientist, entrepreneur
Richard Crenna : actres, producer, short story writer
Richard Cytowic : science writer, neuroscientist, cognitive scientist
Richard D. Feinman : science writer, biochemist, neuroscientist
Richard D. Gill : sociologist, pseudoscientist, psychologist
Richard D. Ryder : autobiographer, short story writer, novelist
Richard D. Smith : chemist, medical researcher, physical chemist
Richard D. Wolff : sociologist, communication scholar, economist
Richard D. Wood : geneticist, medical researcher, biochemist
Richard Daintree : explorer, autobiographer, memoirist
Richard Davenport-Hines : autobiographer, biographer, novelist
Richard Davies (actor) : autobiographer, fictional scientist, radio actor
Richard Dawkins : cognitive scientist, pseudoscientist, autobiographer
Richard Dawson : fictional scientist, musical theatre actor, short story writer
Richard De Angelis : autobiographer, producer, novelist
Richard De Smet : indologist, philosopher, orientalist
Richard Dean Anderson : fictional scientist, producer, actres
Richard Denning : fictional scientist, actres, short story writer
Richard Derr : musical theatre actor, fictional pseudoscientist, playwright
Richard Devon : actres, radio actor, video game actor
Richard Dillane : playwright, autobiographer, musical theatre actor
Richard Dix : novelist, short story writer, fictional scientist
Richard Dixon Oldham : geologist, earth scientist, geophysicist
Richard Doherty : army officer, soldier, recipient
Richard Dormer : short story writer, autobiographer, novelist
Richard Dorton : professional wrestler, video game actor, fictional pseudoscientist
Richard Douthwaite : social sciences writer, autobiographer, economics writer
Richard Doyle (actor) : video game actor, fictional scientist, short story writer
Richard Drayton : autobiographer, biographer, social sciences writer
Richard Dreyfuss : producer, actres, novelist
Richard Dumont : voice actor, video game actor, voice actress
Richard Duncan-Jones : autobiographer, memoirist, folklorist
Richard Dysart : novelist, autobiographer, actres
Richard E. Bellman : systems scientist, cognitive scientist, mathematician
Richard E. Byrd : aviator, explorer, autobiographer
Richard E. Council : actres, leader, autobiographer
Richard E. Dickerson : biochemist, chemist, nuclear physicist
Richard E. Grant : autobiographer, fictional scientist, short story writer
Richard E. Grant (paleontologist) : paleontologist, geologist, national academy
Richard E. Keating : fictional scientist, diarist, autobiographer
Richard E. Quandt : econometrician, economist, business theorist
Richard E. Taylor : nuclear physicist, physicist, theoretical physicist
Richard E. Wagner : economist, social sciences writer, economics writer
Richard Earl Block : mathematician, physicist, intellectual historian
Richard Easterlin : social sciences writer, econometrician, national academy
Richard Eden (actor) : musical theatre actor, soap opera actor, musical theatre actress
Richard Ellis (astronomer) : astronomer, national academy, physicist
Richard Ellis (biologist) : short story writer, novelist, fictional scientist
Richard Epcar : video game actor, voice actor, voice actress
Richard Erdman : actres, musical theatre actor, radio actor
Richard Eybner : playwright, novelist, film actress
Richard F. Post : nuclear physicist, physicist, fictional scientist
Richard Fancy : short story writer, producer, autobiographer
Richard Farnsworth : actres, producer, fictional scientist
Richard Felix Staar : international relations scholar, president, autobiographer
Richard Fenton : antiquarian, biographer, autobiographer
Richard Firth Green : short story writer, novelist, philosopher
Richard Fiske : fictional scientist, autobiographer, short story writer
Richard Flavell : biochemist, medical researcher, molecular biologist
Richard Fleeshman : musical theatre actress, musical theatre actor, guitarist
Richard Fleming St Andrew St John : autobiographer, biographer, medical doctor
Richard Fox (jockey) : autobiographer, jockey, short story writer
Richard Francis Burton : autobiographer, biographer, explorer
Richard Frank (actor) : short story writer, fictional scientist, autobiographer
Richard Friederich Arens : cognitive scientist, geographer, physiologist
Richard Funkhouser : autobiographer, president, biographer
Richard G. Brown : systems scientist, pseudoscientist, essayist
Richard G. F. Uniacke : diarist, antiquarian, autobiographer
Richard G. Morris : cognitive scientist, neuroscientist, psychologist
Richard G. Salomon : art historian, medievalist, orientalist
Richard G. Smith (geographer) : sociologist, communication scholar, social sciences writer
Richard Gant : actres, radio actor, short story writer
Richard Gautier : fictional scientist, radio actor, producer
Richard Genelle : fictional scientist, autobiographer, fictional pseudoscientist
Richard Gere : autobiographer, producer, actres
Richard Gilbert Scott : ecclesiastical architect, architect, landscape or garden designer
Richard Gilbert West : planetary scientist, geologist, earth scientist
Richard Gilliland : actres, video game actor, producer
Richard Goldstein (astronomer) : inventor, physicist, astronomer
Richard Goleszowski : producer, musical theatre actor, television presenter
Richard Gomez : comedian, television actress, film actress
Richard Goolden : radio actor, playwright, autobiographer
Richard Gordon Smith : autobiographer, novelist, short story writer
Richard Graham (actor) : radio actor, musical theatre actor, radio actress
Richard Greene : novelist, fictional scientist, actres
